portal,external_code,external_url,address,neighborhood,title,advisor
argenprop,,,José Luis Cantilo 4300,Villa Devoto,,Diego
argenprop,,,Aleu 3500,San Andrés,,Diego
argenprop,,,Entre Ríos 2333,Martínez,,Diego
argenprop,,,Almafuerte 2500,General San Martín,,Diego
argenprop,,,Gabriela Mistral 2750,Villa Pueyrredón,,Diego
argenprop,,,Gabriela Mistral 4200,Villa Devoto,,Diego
argenprop,,,Rivadavia 2537,San Andrés,,Lucas
argenprop,,,Guatemala 4400,Palermo Soho,,Diego
argenprop,,,Juan B. Ambrosetti 95,Caballito,,Lucas
argenprop,,,Avenida de Los Incas 5200,Parque Chas,,Silvia
argenprop,,,Paraguay 3682,Palermo,,Diego
argenprop,,,Av. La Plata 95,Caballito,,Diego
argenprop,,,Agüero 950,Palermo,,Diego
argenprop,,,Quesada 3500,Coghlan,,Diego
argenprop,,,Avenida Ángel Gallardo 200,Caballito,,Diego
argenprop,,,Coronel Ramón Lorenzo Falcón 2500,Flores,,Lucas
argenprop,,,Tarija 4000,Boedo,,Diego
argenprop,,,Francisco Hué 3276,San Andrés,,Diego
argenprop,,,Liniers 1631,San Martín Centro,,Diego
argenprop,,,Lares de Canning,Tristán Suárez,,Lucas
argenprop,,,Ruta Provincial 52,Tristán Suárez,,Lucas
argenprop,,,Álvarez Jonte 4300,Monte Castro,,Lucas
argenprop,,,Carlos Antonio López 2530,Villa Pueyrredón,,Lucas
